URL,Detail,Linked From,Detected
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=9tiq6socmto5imrka616as32d4&size=10&PHPSESSID=9tiq6socmto5imrka616as32d4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=9tiq6socmto5imrka616as32d4&size=20&PHPSESSID=9tiq6socmto5imrka616as32d4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=9tiq6socmto5imrka616as32d4&PHPSESSID=9tiq6socmto5imrka616as32d4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=6ehrnig9c4rriaee7shg0mfpt7&size=20&PHPSESSID=6ehrnig9c4rriaee7shg0mfpt7,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=6ehrnig9c4rriaee7shg0mfpt7&size=50&PHPSESSID=6ehrnig9c4rriaee7shg0mfpt7,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=6ehrnig9c4rriaee7shg0mfpt7&size=10&PHPSESSID=6ehrnig9c4rriaee7shg0mfpt7,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=4nh4bkt8a4uoo8qpehjqpm8u10&size=50&PHPSESSID=4nh4bkt8a4uoo8qpehjqpm8u10,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=6ehrnig9c4rriaee7shg0mfpt7&PHPSESSID=6ehrnig9c4rriaee7shg0mfpt7,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=4nh4bkt8a4uoo8qpehjqpm8u10&size=20&PHPSESSID=4nh4bkt8a4uoo8qpehjqpm8u10,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=4nh4bkt8a4uoo8qpehjqpm8u10&size=10&PHPSESSID=4nh4bkt8a4uoo8qpehjqpm8u10,404 (Not found),unavailable,10/9/11
